,,2nd Dec
Chelsea,Newcastle
Brighton,Liverpool
Everton,Huddersfield
Leicester,Burnley
Stoke,Swansea
Watford,Tottenham
WBA,Crystal Palace
Arsenal,Man U
Bournemouth,Southampton
Man C,West Ham
,,9th Dec
West Ham,Chelsea
Burnley,Watford
Crystal Palace,Bournemouth
Huddersfield,Brighton
Swansea,WBA
Tottenham,Stoke
Newcastle,Leicester
Southampton,Arsenal
Liverpool,Everton
Man U,Man C
,,12th Dec
Burnley,Stoke
Crystal Palace,Watford
Huddersfield,Chelsea
Newcastle,Everton
Southampton,Leicester
Swansea,Man C
Liverpool,WBA
Man U,Bournemouth
Tottenham,Brighton
West Ham,Arsenal
,,
Bournemouth,Burnley
Arsenal,Chelsea
Crystal Palace,Everton
Brighton,Liverpool
Huddersfield,Southampton
Swansea,Stoke
Leicester,Man C
Tottenham,Man U
Watford,WBA
West Ham,Newcastle
,,14
Arsenal,Brighton
Chelsea,Burnley
Crystal Palace,Everton
Huddersfield,Liverpool
Leicester,Southampton
Stoke,Swansea
Tottenham,Man U
Man C,Newcastle
Watford,WBA
Bournemouth,West Ham
