,,11th Aug,
Arsenal,4,3,Leicester
Watford,3,3,Liverpool
Chelsea,2,3,Burnley
Crystal Palace,0,3,Huddersfield
Everton,1,0,Stoke
Southampton,0,0,Swansea
WBA,1,0,Bournemouth
Brighton,0,2,Man C
Newcastle,0,2,Tottenham
Man U,4,0,West Ham
,,19-Aug,
Swansea,0,4,Man U
Bournemouth,0,2,Watford
Burnley,0,1,WBA
Leicester,2,0,Brighton
Liverpool,1,0,Crystal Palace
Southampton,3,2,West Ham
Stoke,1,0,Arsenal
Huddersfield,1,0,Newcastle
Tottenham,1,2,Chelsea
Man C,1,1,Everton
,,26th Aug,
Bournemouth,1,2,Man C
Crystal Palace,0,2,Swansea
Huddersfield,0,0,Southampton
Newcastle,3,0,West Ham
Watford,0,0,Brighton
Man U,2,0,Leicester
Chelsea,2,0,Everton
WBA,1,1,Stoke
Liverpool,4,0,Arsenal
Tottenham,1,1,Burnley
,,9th Sep,
Man C,5,0,Liverpool
Arsenal,3,0,Bournemouth
Brighton,3,1,WBA
Everton,0,3,Tottenham
Leicester,1,2,Chelsea
Southampton,0,2,Watford
Stoke,2,2,Man U
Burnley,1,0,Crystal Palace
Swansea,0,1,Newcastle
West Ham,2,0,Huddersfield
,,23rd Sep,
West Ham,2,3,Tottenham
Burnley,0,0,Huddersfield
Everton,2,1,Bournemouth
Man C,5,0,Crystal Palace
Southampton,0,1,Man U
Stoke,0,4,Chelsea
Swansea,1,2,Watford
Leicester,2,3,Liverpool
Brighton,1,0,Newcastle
Arsenal,2,0,WBA
,,30th Sep
Huddersfield,0,4,Tottenham
Bournemouth,0,0,Leicester
Man U,4,0,Crystal Palace
Stoke,2,1,Southampton
WBA,2,2,Watford
West Ham,1,0,Swansea
Chelsea,0,1,Man C
Arsenal,2,0,Brighton
Everton,0,1,Burnley
Newcastle,1,1,Liverpool
,,14th Oct
Liverpool,0,0,Man U
Burnley,1,1,West Ham
Crystal Palace,2,1,Chelsea
Man C,7,2,Stoke
Swansea,2,0,Huddersfield
Tottenham,1,0,Bournemouth
Watford,2,1,Arsenal
Brighton,1,1,Everton
Southampton,2,2,Newcastle
Leicester,1,1,WBA
,,20th Oct
West Ham,0,3,Brighton
Chelsea,4,2,Watford
Huddersfield,2,1,Man U
Man C,3,0,Burnley
Newcastle,1,0,Crystal Palace
Stoke,1,2,Bournemouth
Swansea,1,2,Leicester
Southampton,1,0,WBA
Everton,2,5,Arsenal
Tottenham,4,1,Liverpool
,,28th Oct
Man U,1,0,Tottenham
Arsenal,2,1,Swansea
Crystal Palace,2,2,West Ham
Liverpool,3,0,Huddersfield
Watford,0,1,Stoke
WBA,2,3,Man C
Bournemouth,0,1,Chelsea
Brighton,1,1,Southampton
Leicester,2,0,Everton
Burnley,1,0,Newcastle
,,4th Nov
Stoke,2,2,Leicester
Huddersfield,1,0,WBA
Newcastle,0,1,Bournemouth
Southampton,0,1,Burnley
Swansea,0,1,Brighton
West Ham,1,4,Liverpool
Tottenham,1,0,Crystal Palace
Man C,3,1,Arsenal
Chelsea,1,0,Man U
Everton,3,2,Watford
